PRECO MAXIMO DE CADA JOGADOR:  9.175
PRECO MAXIMO TIME:  110.10000000000001
GOLEIROS
     preco_num    SC             apelido  clube_id             clube
307       4.29   1.3              Danilo       275   >>>>> Palmeiras
137       4.22   0.8                Luan       276         São Paulo
ATACANTES
     preco_num    SC            apelido  clube_id            clube
435       8.85  31.6         Kaio Jorge       277     >>>>> Santos
537       7.90  26.9            Vitinho       262   >>>>> Flamengo
466       7.89  26.7       Matheus Babi       293     Athlético-PR
257       7.70  26.1   Gustavo Mosquito       264      Corinthians
306       6.87  25.8  Marcos Guilherme        277     >>>>> Santos
693       5.95  24.4             Rigoni       276        São Paulo
168       3.88  24.0        Fernandinho       315      Chapecoense
751       6.83  22.9       Rodolfo José       327       América-MG
50        7.63  22.4                 Jô       264      Corinthians
571       8.17  22.2              David       356  >>>>> Fortaleza
337       7.31  21.6        Breno Lopes       275  >>>>> Palmeiras
576       8.51  19.8       Luiz Adriano       275  >>>>> Palmeiras
57        4.31  18.9          Janderson       373      Atlético-GO
494       5.97  18.3            Clayson      1371           Cuiabá
730       4.54  17.8            Ribamar       327       América-MG
418       7.37  17.3            Mendoza       354            Ceará
342       8.81  15.8      Jonathan Cafu      1371           Cuiabá
10        8.34  15.8         Zé Roberto       373      Atlético-GO
281       4.96  15.2         Caio Vidal       285    Internacional
477       4.83  14.0            Vitinho       293     Athlético-PR
252       2.78  12.8       Yuri Alberto       285    Internacional
643       6.02  12.5     Felipe Azevedo       327       América-MG
166       3.92  12.4            Michael       262   >>>>> Flamengo
678       7.50  12.2              André       292            Sport
167       2.95  11.4      Anselmo Ramon       315      Chapecoense
84        4.83  11.1               Eder       276        São Paulo
52        4.13  10.0       Arthur Gomes       373      Atlético-GO
249       3.08   7.0  Paulinho Moccelin       292            Sport
126       2.01   4.4      Paulinho Bóia       286        Juventude
495       3.81   4.1          Everaldo        292            Sport
324       6.08   4.0               Rony       275  >>>>> Palmeiras
546       6.85   3.9               Fred       266       Fluminense
200       1.42   2.9               Mike       315      Chapecoense
402       2.37   0.9        Lucas Braga       277     >>>>> Santos
16        2.62  -0.8    Marcelo Toscano       327       América-MG
TECNICOS
    scout  posicao_id  status_id  pontos_num  preco_num  media_num  \
621    {}           6          7        4.20       9.12       4.02   
666    {}           6          7        6.51       7.82       4.02   
736    {}           6          7        0.99       9.14       3.97   
722    {}           6          7        2.61       6.94       3.78   
623    {}           6          7        4.39       5.08       3.77   
436    {}           6          7        3.65       8.83       3.43   
551    {}           6          7        2.49       8.58       3.18   
664    {}           6          7        2.73       6.63       2.93   
565    {}           6          7        5.49       6.50       2.82   
662    {}           6          7        3.04       4.54       2.81   
615    {}           6          7        4.22       5.99       2.75   
8      {}           6          7        1.60       7.93       2.59   
447    {}           6          7        3.04       5.30       2.43   
636    {}           6          7        0.55       8.79       2.40   
653    {}           6          7        4.56       5.48       2.37   

                 apelido  clube_id            clube  
621         Juan Vojvoda       356  >>>>> Fortaleza  
666       Fernando Diniz       277     >>>>> Santos  
736      Eduardo Barroca       373      Atlético-GO  
722        Diego Aguirre       285    Internacional  
623  Luiz Fernando Iubel      1371           Cuiabá  
436      Dado Cavalcanti       265      >>>>> Bahia  
551       Roger Machado        266       Fluminense  
664             Sylvinho       264      Corinthians  
565          Tiago Nunes       284           Grêmio  
662         Jair Ventura       315      Chapecoense  
615    Marquinhos Santos       286        Juventude  
8          Guto Ferreira       354            Ceará  
447       Vagner Mancini       327       América-MG  
636        Hernán Crespo       276        São Paulo  
653       Umberto Louzer       292            Sport  
